task_run__finish_time,PublicContribution,ProjectAppeal,SustainedEngagement,DistributionOfEffort
2014-04-01,214.37500000000003,24.500000000000004,0.0026785006192129633,0.5285714285714286
2014-05-01,0.3391003460207613,0.5086505190311419,3.0759656947848593e-05,0.2671121911705143
2014-06-01,0.2839506172839506,0.25925925925925924,1.6312876330916455e-05,0.22269853177580112
2014-07-01,0.13573407202216067,0.40720221606648205,2.9100372601826205e-06,0.11760646529489316
2014-08-01,0.06790123456790123,4.9907407407407405,2.717972587611862e-06,0.06968913595761916
2014-09-01,0.06644477317554241,1.2966798159105852,2.969557823381608e-06,0.07453410388252335
2014-10-01,0.044839715176299005,0.13171666333037832,9.538195554720159e-06,0.11778662931941353
2014-11-01,0.009365244536940686,0.05098855359001041,2.2141480882733484e-07,0.12481765953668067
2014-12-01,0.010357049947970862,0.04381828824141518,3.8864326593783716e-07,0.08950159549528636
2015-01-01,0.010701301370742926,0.07931552780668286,5.986120472549219e-07,0.11924274697391479
2015-02-01,0.010397988307568252,0.049390444460949194,6.159125491016116e-07,0.2311954661844836
2015-03-01,0.008197659572594633,0.016395319145189265,9.209959113206752e-07,0.1732385578679977
2015-04-01,0.007960184310018905,0.015196715500945182,2.151403979011872e-05,0.18227612416150174
2015-05-01,0.00554016620498615,0.011695906432748537,4.903921716958902e-07,0.16089201204646497
2015-06-01,0.0018637151504284372,0.00825359566618308,9.645829279536545e-07,0.15924668301578315
2015-07-01,0.008799621928166353,0.005789224952741021,0.010388770057778916,0.20578807294233614
2015-08-01,0.013211327313226677,0.011991820176621138,1.540303922699947e-06,0.17055819759225066
2015-09-01,0.008123312248333892,0.008123312248333892,0.0003100920941120125,0.1841075752033582
2015-10-01,0.01495549779458097,0.012382508926696071,0.00012575128614205036,0.24833847092983308
2015-11-01,0.008317981601539898,0.0060757430828639256,9.411316807864468e-06,0.1977309279071393
2015-12-01,0.011251014567046863,0.0034014695202699815,9.222458858026917e-06,0.2640354960284689
2016-01-01,0.007266068052930057,0.004017013232514178,3.923769654066304e-05,0.1865008908041601
2016-02-01,0.006545175954730212,0.00411101960792972,5.827963055493409e-07,0.26248205203725816
2016-03-01,0.0026694053460743802,0.0037569408574380167,3.9572955885537724e-08,0.09408476944573829
2016-04-01,0.004683938554744634,0.004183712107150547,9.99390270389358e-08,0.12648538937523757
2016-05-01,0.001590841129480114,0.003181682258960228,7.35817786922725e-08,0.19808185529025035
2016-06-01,0.001860685890589771,0.002946085993433804,0.00025947583232842483,0.23389423507696716
2016-07-01,0.0014363688595231256,0.00251364550416547,8.077145879977322e-08,0.21404787644787648
2016-08-01,0.0022350088297485595,0.002535233896431202,6.413303370426648e-08,0.20195707780061734
2016-09-01,0.0006850803730192726,0.0018061209834144458,2.5343732622022856e-08,0.1682175935991651
2016-10-01,0.0012501127296718738,0.0016280537874796496,1.0784215391238106e-07,0.20321514537882546
2016-11-01,0.0008723673200519862,0.0029442397051754536,3.541117769902446e-08,0.2355845537453135
2016-12-01,0.0007157456744859621,0.0010736185117289432,2.8997688320098683e-08,0.32745709269411305
2017-01-01,0.0015371042054700523,0.0017292422311538087,7.02507456433556e-08,0.2377265707551004
2017-02-01,0.00045478001640920554,0.001227906044304855,1.4307874100047754e-08,0.15410190984303718
2017-03-01,0.0006860577146052411,0.0017580228936759303,1.78040313029065e-08,0.1476102129708805
2017-04-01,0.0012388397624845146,0.00012815583749839805,5.4908673991665574e-08,0.4277539341917024
