task_run__finish_time,DistributionOfEffort,PublicContribution,ProjectAppeal,SustainedEngagement
2014-04-28,1.0,1.0,1.0,0.0
2014-05-05,1.0,416.50000000000006,12.250000000000002,0.005357001238425927
2014-05-12,0.32978723404255317,1.1597633136094674,2.029585798816568,8.226285557747096e-05
2014-05-19,0.6222222222222222,6.108033240997229,0.2714681440443213,0.2884770699406387
2014-05-26,0.450328227571116,6.5625,0.3125,0.0001674227982390873
2014-06-02,0.3943089430894309,2.44,0.2,0.04055270330238095
2014-06-09,0.32606060606060605,0.5555555555555556,0.3055555555555556,0.015985922094080687
2014-06-16,0.27145098039215687,1.0,0.20408163265306123,0.010949264544646233
2014-06-23,0.35084033613445376,0.08721965112139551,0.12210751156995373,0.04055652237560652
2014-06-30,0.38690476190476186,0.1728395061728395,0.07407407407407407,0.06751536328290343
2014-07-07,0.5277777777777778,0.18525519848771266,0.020583910943079185,0.08529676248313116
2014-07-14,0.10808456266697641,0.15289256198347106,0.34710743801652894,3.885246642561984e-06
2014-07-21,0.1699886909810574,0.1597222222222222,0.125,0.002958116200689622
2014-07-28,0.18400108260807047,0.11242603550295859,0.15976331360946747,1.1877289866472557e-05
2014-08-04,0.31831148665727804,0.11734693877551021,0.08673469387755102,0.00677209075827057
2014-08-11,0.581602176942988,0.30806213017751477,0.05889423076923077,0.007982903727344092
2014-08-18,0.08819031236561237,0.1015625,0.78125,3.256462941649099e-06
2014-08-25,0.0843616689587916,0.07612456747404844,4.557093425605537,3.1820165321030374e-06
2014-09-01,0.09094704068532422,0.11419753086419752,0.5802469135802469,3.1742350014186914e-05
2014-09-08,0.1054556839314772,0.08033240997229917,1.3822714681440442,3.54027521746618e-06
2014-09-15,0.13108301058722083,0.15125,0.42,0.000388318273848793
2014-09-22,0.1740908151679299,0.24036281179138322,0.16780045351473924,0.004195432512260195
2014-09-29,0.2332504070065553,0.4359504132231405,0.1012396694214876,0.008254486338551232
2014-10-06,0.196547890083126,0.06427221172022685,0.09640831758034027,0.006375982424810714
2014-10-13,0.2578942270437815,0.1545138888888889,0.041666666666666664,0.012184067711585672
2014-10-20,0.2472378152009267,0.1784,0.0288,0.013669318784996031
2014-10-27,0.16862598532209838,0.03254437869822485,0.07100591715976332,1.0622787302174322e-06
2014-11-03,0.3209612534406098,0.17695473251028807,0.013717421124828532,0.014227788672756722
2014-11-10,0.17132960298427924,0.011479591836734694,0.03443877551020408,2.0402446457253537e-07
2014-11-17,0.2503461918892186,0.041617122473246136,0.011890606420927468,0.01663324933883962
2014-11-24,0.35223577235772363,0.019444444444444445,0.008888888888888889,0.01646380663565274
2014-12-01,0.2826433430515063,0.031217481789802288,0.015608740894901144,0.005200073501397423
2014-12-08,0.15061664953751286,0.03271484375,0.013671875,0.012721326022015929
2014-12-15,0.332201358369956,0.0780532598714417,0.012855831037649219,0.01469351498792792
2014-12-22,0.1009186283208936,0.01384083044982699,0.019896193771626297,2.849887002595156e-06
2014-12-29,0.2738728502814647,0.015510204081632653,0.013877551020408163,0.009870622832487042
2015-01-05,0.18287452623179734,0.017361111111111112,0.013888888888888888,2.475686821528594e-06
2015-01-12,0.2253346018292287,0.046384222059897735,0.010226442658875092,0.0001074108632691572
2015-01-19,0.17567771734438398,0.011772853185595568,0.027008310249307478,2.767411080698823e-07
2015-01-26,0.22967105573646707,0.015121630506245891,0.009204470742932281,2.9674316192572072e-05
2015-02-02,0.21858866857387127,0.014375,0.045,0.0018127204686172083
2015-02-09,0.24306366166831284,0.013087447947650209,0.02082093991671624,9.933078560097447e-07
2015-02-16,0.30981140547822184,0.007653061224489796,0.01927437641723356,2.873484441175059e-06
2015-02-23,0.45557362507392074,0.029204975662520283,0.010275824770146024,7.10595702202821e-07
2015-03-02,0.2072874493927126,0.005681818181818182,0.00981404958677686,0.0011671040819039968
2015-03-09,0.26337880377754463,0.008395061728395062,0.005432098765432099,1.8381566635639167e-06
2015-03-16,0.41385494899674924,0.02930056710775047,0.005198487712665407,0.012641547528425714
2015-03-23,0.3018876018876019,0.009280217292892712,0.006337709370755998,0.007312111410425889
2015-03-30,0.2833460851823515,0.03125,0.00390625,4.899447210223306e-07
2015-04-06,0.35169946332737034,0.013536026655560184,0.004164931278633903,0.007446101060891255
2015-04-13,0.3252179918846585,0.0088,0.0052,0.0002268115567070106
2015-04-20,0.3167647427068987,0.07766243752402922,0.002691272587466359,3.135421140869202e-05
2015-04-27,0.34577756764620304,0.022189349112426034,0.005917159763313609,0.00032611261286159197
2015-05-04,0.33144375553587246,0.007831968672125312,0.00533997864008544,2.1069641002983607e-06
2015-05-11,0.26400206958996253,0.013031550068587106,0.0030864197530864196,0.004197065208295343
2015-05-18,0.23250201126307324,0.011239669421487603,0.005619834710743801,1.8891005400323582e-07
2015-05-25,0.29122125040492386,0.005739795918367347,0.004464285714285714,0.012427493094634662
2015-06-01,0.2177526595744681,0.001692828562634657,0.0024622960911049553,0.008542376469389594
2015-06-08,0.317921146953405,0.00535077288941736,0.00267538644470868,0.0006622649858686002
2015-06-15,0.32082593250444047,0.004165469692617064,0.002298190175237001,0.012631147993082771
2015-06-22,0.500587084148728,0.015,0.0019444444444444444,0.011840212531487452
2015-06-29,0.33333333333333337,0.0008062348830959419,0.002418704649287826,0.005841087404803052
2015-07-06,0.2096588289534348,0.0037895556539316974,0.0031361839894607155,0.00294760240884706
2015-07-13,0.3861273861273862,0.027966742252456538,0.002771478961955152,0.011519100447133855
2015-07-20,0.4616890380313199,0.0618896484375,0.001953125,0.006098090262370841
