task_run__finish_time,DistributionOfEffort,PublicContribution,SustainedEngagement,ProjectAppeal
2014-07-14,0.2436424394319131,54.879999999999995,0.005960392517592592,37.24
2014-07-21,0.21686722247320223,3.2326388888888893,0.00048196582871174126,8.847222222222223
2014-07-28,0.23591331269349847,1.7645429362880884,0.030938110080345232,2.578947368421052
2014-08-04,0.3794046172539489,1.9933431952662721,0.10255650138680864,0.8698224852071006
2014-08-11,0.3475187969924812,0.8374023437500001,0.04542859608417087,0.47851562500000006
2014-08-18,0.08258394065590835,0.1990625,2.19253199182581e-05,4.8999999999999995
2014-08-25,0.07847068211897734,0.13309189678587596,8.510198755511962e-06,13.33137166138524
2014-09-01,0.09260626940274974,0.1008230452674897,2.3647222801719757e-05,1.2938957475994513
2014-09-08,0.11419207122185937,0.06584251545283527,4.054023768376681e-06,1.8304219295888207
2014-09-15,0.12675571414039455,0.08477508650519032,2.0260463698857814e-05,0.4344723183391004
2014-09-22,0.14831168831168828,0.04355555555555556,0.002442816051220165,0.24391111111111113
2014-09-29,0.2195086139389193,0.08744794765020822,0.013522492342739594,0.11659726353361097
2014-10-06,0.2528604118993135,0.03711652569120061,0.02087047408222093,0.16083827799520264
2014-10-13,0.23271889400921664,0.03721788194444445,0.03138021114371783,0.11697048611111112
2014-10-20,0.3279842914212201,0.06466207936657556,0.009469849463082533,0.12470543877839572
2014-10-27,0.16704582385440359,0.04049586776859505,6.617096062901745e-06,0.3604132231404959
2014-11-03,0.2503222621431118,0.0536927460004383,0.014975359909401943,0.06801081160055518
2014-11-10,0.25801526717557255,0.023900884495317375,4.375341752087187e-06,0.1338449531737773
2014-11-17,0.36936713568462154,0.09422527824718838,0.027140368431581106,0.04854029485461219
2014-11-24,0.4833831545630385,0.09262759924385633,0.03337311517855458,0.028302877546733878
2014-12-01,0.43368183681836814,0.08972651605231866,0.017704269113155636,0.027966706302021402
2014-12-08,0.3036078149346758,0.0742295706371191,0.016267177688447657,0.03817520775623268
2014-12-15,0.2901000606428138,0.07171393536648075,0.01953208036468886,0.03294964597919386
2014-12-22,0.1332196452933151,0.03467484395412977,6.8108947188519805e-06,0.07112788503411235
2014-12-29,0.3177012956044829,0.06876273848107187,0.001970158774485031,0.03765578535868221
2015-01-05,0.14386363636363642,0.012854938271604936,7.017778459272834e-05,0.045370370370370366
2015-01-12,0.2393722832093126,0.04554033572592867,0.0014194757223549123,0.039234750779261626
2015-01-19,0.2847062211981567,0.011717504516951853,3.963393088949877e-05,0.036454458497183546
2015-01-26,0.3862736066328881,0.03274671419024281,0.003654927905814521,0.01576693646196876
2015-02-02,0.29224318658280923,0.006795488165680473,2.7100196655460707e-06,0.06115939349112426
2015-02-09,0.3121198635217327,0.013250405624661978,0.005234159981268779,0.01908058409951325
2015-02-16,0.3987820089515005,0.010936612287963639,0.0027413330894675643,0.020878987095203312
2015-02-23,0.3489214992927864,0.01681890124139509,0.00725568755748336,0.014950134436795635
2015-03-02,0.3734817813765182,0.013196638896868715,0.002348503150390604,0.01671574260270037
2015-03-09,0.4643048845947396,0.018256024657487848,0.018082598115830944,0.0074683737235177565
2015-03-16,0.4457831325301205,0.012544,0.008043808252177962,0.007056
2015-03-23,0.41000000000000003,0.006305924389468425,0.005542068282063527,0.0074187345758452055
2015-03-30,0.3324035332403533,0.007084098367765908,0.003445245839060717,0.006375688530989317
2015-04-06,0.34398496240601506,0.012009640391606867,0.021692137837465396,0.004670415707847115
2015-04-13,0.3675629732653377,0.00951037730966306,0.008632554793147645,0.011412452771595671
2015-04-20,0.4443483275663207,0.00814404432132964,0.014810995946761397,0.0072391505078485685
2015-04-27,0.31756756756756754,0.007758256708575718,0.005405848073584662,0.009194970913867517
2015-05-04,0.39600153787005,0.019183230612632968,0.020310199942414446,0.004932830728962763
2015-05-11,0.29664179104477617,0.013431873152378393,0.014647712196418788,0.004213920988981457
2015-05-18,0.2511671335200747,0.002000632853249497,0.013522115569019812,0.00700221498637324
2015-05-25,0.1827036868456987,0.0047851562499999995,0.0028874526059326174,0.006220703125
2015-06-01,0.49189189189189186,0.003665983970672128,0.0005855632930265384,0.005040727959674176
2015-06-08,0.35930735930735935,0.010102549392233496,0.0006308370478900917,0.004392412779231955
2015-06-15,0.35396825396825393,0.0021069650243805953,0.0019593210485558594,0.004213930048761191
2015-06-22,0.45398351648351654,0.010722189192759942,0.01178439161463561,0.0032368873034746993
2015-06-29,0.5063829787234042,0.00395467458677686,0.014915304042367553,0.00197733729338843
